service_id,date,exception_type
1,20121130,1
1,20121201,1
1,20121207,1
1,20121208,1
1,20121214,1
1,20121215,1
1,20121221,1
1,20121222,1
1,20121224,1
1,20121228,1
1,20121229,1
1,20121231,1
1,20130104,1
1,20130105,1
1,20130111,1
1,20130112,1
1,20130118,1
1,20130119,1
1,20130120,1
1,20130125,1
1,20130126,1
1,20130201,1
1,20130202,1
1,20130208,1
1,20130209,1
1,20130215,1
1,20130216,1
1,20130217,1
1,20130222,1
1,20130223,1
1,20130301,1
1,20130302,1
1,20130308,1
1,20130309,1
1,20130315,1
1,20130316,1
1,20130322,1
1,20130323,1
1,20130329,1
1,20130330,1
1,20130405,1
1,20130406,1
1,20130412,1
1,20130413,1
1,20130419,1
1,20130420,1
1,20130426,1
1,20130427,1
1,20130503,1
1,20130504,1
1,20130510,1
1,20130511,1
1,20130517,1
2,20121130,1
2,20121203,1
2,20121204,1
2,20121205,1
2,20121206,1
2,20121207,1
2,20121210,1
2,20121211,1
2,20121212,1
2,20121213,1
2,20121214,1
2,20121217,1
2,20121218,1
2,20121219,1
2,20121220,1
2,20121221,1
2,20121224,1
2,20121226,1
2,20121227,1
2,20121228,1
2,20121231,1
2,20130102,1
2,20130103,1
2,20130104,1
2,20130107,1
2,20130108,1
2,20130109,1
2,20130110,1
2,20130111,1
2,20130114,1
2,20130115,1
2,20130116,1
2,20130117,1
2,20130118,1
2,20130122,1
2,20130123,1
2,20130124,1
2,20130125,1
2,20130128,1
2,20130129,1
2,20130130,1
2,20130131,1
2,20130201,1
2,20130204,1
2,20130205,1
2,20130206,1
2,20130207,1
2,20130208,1
2,20130211,1
2,20130212,1
2,20130213,1
2,20130214,1
2,20130215,1
2,20130219,1
2,20130220,1
2,20130221,1
2,20130222,1
2,20130225,1
2,20130226,1
2,20130227,1
2,20130228,1
2,20130301,1
2,20130304,1
2,20130305,1
2,20130306,1
2,20130307,1
2,20130308,1
2,20130311,1
2,20130312,1
2,20130313,1
2,20130314,1
2,20130315,1
2,20130318,1
2,20130319,1
2,20130320,1
2,20130321,1
2,20130322,1
2,20130325,1
2,20130326,1
2,20130327,1
2,20130328,1
2,20130329,1
2,20130401,1
2,20130402,1
2,20130403,1
2,20130404,1
2,20130405,1
2,20130408,1
2,20130409,1
2,20130410,1
2,20130411,1
2,20130412,1
2,20130415,1
2,20130416,1
2,20130417,1
2,20130418,1
2,20130419,1
2,20130422,1
2,20130423,1
2,20130424,1
2,20130425,1
2,20130426,1
2,20130429,1
2,20130430,1
2,20130501,1
2,20130502,1
2,20130503,1
2,20130506,1
2,20130507,1
2,20130508,1
2,20130509,1
2,20130510,1
2,20130513,1
2,20130514,1
2,20130515,1
2,20130516,1
2,20130517,1
3,20121201,1
3,20121202,1
3,20121208,1
3,20121209,1
3,20121215,1
3,20121216,1
3,20121222,1
3,20121223,1
3,20121225,1
3,20121229,1
3,20121230,1
3,20130101,1
3,20130105,1
3,20130106,1
3,20130112,1
3,20130113,1
3,20130119,1
3,20130120,1
3,20130121,1
3,20130126,1
3,20130127,1
3,20130202,1
3,20130203,1
3,20130209,1
3,20130210,1
3,20130216,1
3,20130217,1
3,20130218,1
3,20130223,1
3,20130224,1
3,20130302,1
3,20130303,1
3,20130309,1
3,20130310,1
3,20130316,1
3,20130317,1
3,20130323,1
3,20130324,1
3,20130330,1
3,20130331,1
3,20130406,1
3,20130407,1
3,20130413,1
3,20130414,1
3,20130420,1
3,20130421,1
3,20130427,1
3,20130428,1
3,20130504,1
3,20130505,1
3,20130511,1
3,20130512,1
3,20130518,1
4,20121202,1
4,20121203,1
4,20121204,1
4,20121205,1
4,20121206,1
4,20121209,1
4,20121210,1
4,20121211,1
4,20121212,1
4,20121213,1
4,20121216,1
4,20121217,1
4,20121218,1
4,20121219,1
4,20121220,1
4,20121223,1
4,20121225,1
4,20121226,1
4,20121227,1
4,20121230,1
4,20130101,1
4,20130102,1
4,20130103,1
4,20130106,1
4,20130107,1
4,20130108,1
4,20130109,1
4,20130110,1
4,20130113,1
4,20130114,1
4,20130115,1
4,20130116,1
4,20130117,1
4,20130121,1
4,20130122,1
4,20130123,1
4,20130124,1
4,20130127,1
4,20130128,1
4,20130129,1
4,20130130,1
4,20130131,1
4,20130203,1
4,20130204,1
4,20130205,1
4,20130206,1
4,20130207,1
4,20130210,1
4,20130211,1
4,20130212,1
4,20130213,1
4,20130214,1
4,20130218,1
4,20130219,1
4,20130220,1
4,20130221,1
4,20130224,1
4,20130225,1
4,20130226,1
4,20130227,1
4,20130228,1
4,20130303,1
4,20130304,1
4,20130305,1
4,20130306,1
4,20130307,1
4,20130310,1
4,20130311,1
4,20130312,1
4,20130313,1
4,20130314,1
4,20130317,1
4,20130318,1
4,20130319,1
4,20130320,1
4,20130321,1
4,20130324,1
4,20130325,1
4,20130326,1
4,20130327,1
4,20130328,1
4,20130331,1
4,20130401,1
4,20130402,1
4,20130403,1
4,20130404,1
4,20130407,1
4,20130408,1
4,20130409,1
4,20130410,1
4,20130411,1
4,20130414,1
4,20130415,1
4,20130416,1
4,20130417,1
4,20130418,1
4,20130421,1
4,20130422,1
4,20130423,1
4,20130424,1
4,20130425,1
4,20130428,1
4,20130429,1
4,20130430,1
4,20130501,1
4,20130502,1
4,20130505,1
4,20130506,1
4,20130507,1
4,20130508,1
4,20130509,1
4,20130512,1
4,20130513,1
4,20130514,1
4,20130515,1
4,20130516,1
5,20121201,1
5,20121202,1
5,20121208,1
5,20121209,1
5,20121215,1
5,20121216,1
5,20121222,1
5,20121223,1
5,20121225,1
5,20121229,1
5,20121230,1
5,20130101,1
5,20130105,1
5,20130106,1
5,20130112,1
5,20130113,1
5,20130119,1
5,20130120,1
5,20130121,1
5,20130126,1
5,20130127,1
5,20130202,1
5,20130203,1
5,20130209,1
5,20130210,1
5,20130216,1
5,20130217,1
5,20130218,1
